,ASV_1,ASV_2,ASV_3,ASV_4,ASV_5,ASV_6,ASV_7,ASV_8,ASV_9,ASV_10,ASV_11,ASV_13,ASV_14,ASV_15,ASV_16,ASV_17,ASV_18,ASV_19,ASV_23,ASV_30,ASV_31,ASV_34,ASV_35,ASV_36,ASV_37,ASV_41,ASV_42,ASV_44,ASV_46,ASV_51,ASV_52,ASV_66,ASV_71,ASV_83,ASV_87,ASV_93,ASV_129,elevation,extract-concen,amplicon-concentration,depth,ph,toc,ec,average-soil-relative-humidity,relative-humidity-soil-high,relative-humidity-soil-low,percent-relative-humidity-soil-100,average-soil-temperature,temperature-soil-high,temperature-soil-low,percentcover
BAQ2420.1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8790672565823923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7070274993594654,3.0835050705943776,2.1962018755934745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40213991905188967,-0.43581915409774075,-0.31622771892426504,-2.1650635094610964,2.1589260434694566,0.0,0.0,0.5306796723145373,0.6475837691883881,-0.1355059036510838,0.18689446882023777,1.2447046253974512,0.761470509506671,0.9839660986687869,-0.6021381645809012
BAQ2420.1.2,0.0,0.0,0.0,2.6683533197486247,0.0,2.1575276959826337,0.0,0.0,0.0,0.0,3.3813031276047494,3.0048255563698376,2.0885348244956825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.233667128798685,0.0,2.745314360884753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.745314360884753,1.934384144668424,0.0,2.0144268523419604,-0.40213991905188967,-0.47672135558009515,0.27828906885191446,0.0,2.204029892834112,-0.3321955525272638,-0.6237635281522991,0.5306796723145373,0.6475837691883881,-0.1355059036510838,0.18689446882023777,1.2447046253974512,0.761470509506671,0.9839660986687869,-0.6021381645809012
BAQ2420.1.3,0.0,1.2504387972950954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.454411601621031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5497217814253563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40213991905188967,-0.47266493890415917,0.06828562640361223,2.1650635094610964,1.5124375359093796,0.0,0.0,0.5306796723145373,0.6475837691883881,-0.1355059036510838,0.18689446882023777,1.2447046253974512,0.761470509506671,0.9839660986687869,-0.6021381645809012
BAQ2420.2,0.0,3.8582512463695373,3.0253421234344335,0.0,0.0,2.668667179495701,0.0,0.0,0.0,0.0,2.891810730809911,2.7704498738056436,0.0,2.8628231939366584,1.639047762314543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.632299535324826,0.0,0.0,0.0,0.0,0.0,2.1090513915602784,0.0,0.0,1.8213693191084974,-0.40213991905188967,-0.4799326854485445,0.07715901129579408,0.0,2.204029892834112,-0.25285271193524267,-0.6237635281522991,0.5306796723145373,0.6475837691883881,-0.1355059036510838,0.18689446882023777,1.2447046253974512,0.761470509506671,0.9839660986687869,-0.6021381645809012
BAQ2420.3,0.0,0.0,3.1588202316126615,0.0,0.0,2.019385948424296,0.0,3.007997341878078,0.0,0.0,0.0,2.884383385910901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40213991905188967,-0.48094678961752846,0.9437929357655482,0.0,2.204029892834112,-0.1428863188340204,-0.6237635281522991,0.5306796723145373,0.6475837691883881,-0.1355059036510838,0.18689446882023777,1.2447046253974512,0.761470509506671,0.9839660986687869,-0.6021381645809012
BAQ2462.1,0.0,3.3929463197313177,2.767240419966905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.158106728653917,0.0,4.443930559410172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7718123675340258,0.0,0.0,2.6997991391713723,0.0,0.0,0.0,0.0,0.0,1.8289707813739748,0.0,0.0,0.0,-0.36045024503466233,-0.2979009871159177,0.8506223943976394,0.0,0.6855336308906749,-0.3289475999884091,-0.3044029314304352,0.10132277058183635,0.5905561747950363,-0.40559924035507755,-1.000637640801739,1.1176120238335034,0.911054361424083,0.9287259633135373,-0.6021381645809012
BAQ2462.2,0.0,2.8905026162498517,2.025505178763247,0.0,0.0,0.0,0.0,0.0,0.0,2.907894358961721,0.0,3.3907461306853053,0.0,3.7302532710016725,0.0,0.0,0.0,2.066327173283502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58512096669867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36045024503466233,-0.4866933799084378,0.1259626282027939,0.0,0.6855336308906749,-0.255636671254261,-0.3044029314304352,0.10132277058183635,0.5905561747950363,-0.40559924035507755,-1.000637640801739,1.1176120238335034,0.911054361424083,0.9287259633135373,-0.6021381645809012
BAQ2462.3,0.0,0.0,3.5863967803270835,0.0,0.0,0.0,0.0,3.708999102419416,2.4877844916589735,3.158952765500144,0.0,3.0411697298437605,0.0,2.848797837196304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9172396331913606,0.0,0.0,0.0,0.0,1.144049744957879,0.0,0.0,0.0,-0.36045024503466233,-0.48382008476298316,-0.15946458582905343,0.0,0.6855336308906749,-0.11504672564383756,-0.3044029314304352,0.10132277058183635,0.5905561747950363,-0.40559924035507755,-1.000637640801739,1.1176120238335034,0.911054361424083,0.9287259633135373,-0.6021381645809012
BAQ2687.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.310550262572602,0.0,0.0,0.0,0.0,0.0,3.423345756717946,2.3247334680498364,3.3543528852309947,3.4753054956486573,0.0,0.0,0.0,2.769419289311282,0.0,0.0,0.0,0.0,1.5037529159800063,0.0,2.6612057046710493,0.0,0.0,1.6708070006431726,0.0,-0.1371127056566587,-0.28826699751056983,-1.2272285678549282,0.0,0.6855336308906749,-0.15216618323074801,-0.5822688798543306,0.23306452423384616,0.6475837691883881,-0.773659275261954,0.10298165437315207,0.37350534048329453,0.08309642453871427,0.5352041321914673,-0.5690851291248757
BAQ2687.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,3.2135153092103743,0.0,0.0,0.0,2.4978952727983708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7390573296152585,0.0,0.0,0.0,-0.1371127056566587,-0.4525518728859767,1.1818954303724263,0.0,0.6855336308906749,-0.24682080007736973,-0.5822688798543306,0.23306452423384616,0.6475837691883881,-0.773659275261954,0.10298165437315207,0.37350534048329453,0.08309642453871427,0.5352041321914673,-0.5690851291248757
